Date,PLN,EUR,CZK,DKK,NOK,RUB,CHF,SEK,HUF,GBP
1995-2,2.43,0,0,6.032704545454546,6.697227272727273,0,1.28705,7.4663,0,1.5751454545454548
1995-3,2.42,0,0,5.914789473684209,6.579921052631579,0,1.2678789473684209,7.374305263157896,0,1.5711842105263158
1995-4,2.35,0,0,5.605340909090909,6.2469090909090905,0,1.1630909090909094,7.268027272727272,0,1.6026409090909093
1995-5,2.37,0,0,5.426762500000001,6.189999999999999,0,1.13804375,7.334837499999999,0,1.6080470588235294
1995-6,2.42,0,0,5.5091,6.273375,0,1.1696952380952381,7.294123809523809,0,1.5849600000000001
1995-7,2.3409999999999997,0,0,5.4582250000000005,6.225650000000001,0,1.1560799999999998,7.24988947368421,0,1.5953095238095238
1995-8,2.375,0,0,5.41185,6.173125000000001,0,1.1571947368421054,7.1681,0,1.5947999999999998
1995-9,2.375,0,0,5.623659090909091,6.35993181818182,0,1.2005454545454544,7.244299999999999,0,1.5657619047619051
1995-10,2.375,0,0,5.66015,6.3934500000000005,0,1.1872950000000002,7.098347368421053,0,1.5586850000000005
1995-11,2.4530000000000003,0,0,5.486023809523809,6.232999999999999,0,1.145,6.811166666666666,0,1.5779285714285713
1995-12,2.5215,0,0,5.4945714285714295,6.25345238095238,0,1.144347619047619,6.58684,0,1.5605190476190478
1996-1,2.4722,0,0,5.577527777777778,6.350216666666666,0,1.162764705882353,6.638717647058823,0,1.5406444444444445
1996-2,2.55,0,0,5.6669761904761895,6.42897619047619,0,1.1837476190476188,6.746485714285714,0,1.5275095238095235
1996-3,2.5669999999999997,0,0,5.665225000000001,6.396425000000002,0,1.1937350000000002,6.868422222222223,0,1.537705
1996-4,2.583,0,0,5.7088,6.427375,0,1.195145,6.7212444444444435,0,1.5270249999999999
1996-5,2.6578,0,0,5.830638888888888,6.508529411764705,0,1.2243157894736838,6.72940625,0,1.5132631578947369
1996-7,2.7208,0,0,5.8870555555555555,6.5311315789473685,0,1.2571578947368423,6.676316666666666,0,1.5421263157894736
1996-8,2.6995,0,0,5.790568181818181,6.441704545454544,0,1.232357142857143,6.640228571428571,0,1.5536636363636367
1996-9,2.7425,0,0,5.732261904761905,6.412919047619046,0,1.2032238095238097,6.621025,0,1.5503150000000003
1996-10,2.8085,0,0,5.80775,6.460175,0,1.23523,6.6405894736842095,0,1.559225
1996-11,2.8125,0,0,5.858204545454544,6.479227272727273,0,1.2594863636363636,6.59852380952381,0,1.5895909090909095
1996-12,2.8475,0,0,5.806625,6.352,0,1.2767800000000002,6.632147368421052,0,1.6664249999999998
1997-1,2.8725,0,0,5.938083333333333,6.463736842105264,0,1.328038888888889,6.824652941176471,0,1.6651947368421052
1997-2,3.0065,0,0,6.143666666666668,6.454238095238095,0,1.397395238095238,7.090599999999999,0,1.6538142857142861
1997-3,3.05875,0,0,6.398447368421053,6.6455947368421056,0,1.4576368421052632,7.4188684210526326,0,1.6268789473684209
1997-4,3.073,0,0,6.467941176470587,6.8021764705882335,0,1.4622333333333335,7.656355555555556,0,1.6059277777777774
1997-5,3.1630000000000003,0,0,6.532900000000001,6.9964249999999995,0,1.4639761904761908,7.684263157894737,0,1.6272904761904758
1997-6,3.2205,0,0,6.480526315789475,7.063026315789474,0,1.4278631578947367,7.669815789473685,184.17,1.6351789473684206
1997-7,3.2845,0,0,6.579631578947368,7.218024999999999,0,1.444655,7.739242105263158,0,1.645665
1997-8,3.4655,0,0,6.845886363636364,7.451377272727272,0,1.4832666666666665,7.818568181818182,0,1.6706590909090908
1997-9,3.47475,0,0,7.0068,7.617649999999999,0,1.512485,7.990052631578948,0,1.6004631578947368
1997-10,3.4215,0,0,6.79747619047619,7.290428571428571,0,1.4699809523809524,7.672757142857144,0,1.6000095238095235
1997-11,3.485,0,0,6.684,7.072045454545455,0,1.451059090909091,7.570942857142858,0,1.634577272727273
1997-12,3.5315,0,0,6.598916666666666,7.066157894736841,0,1.4081789473684212,7.570764705882353,0,1.6884526315789472
1998-2,3.5465,0,0,6.9225749999999975,7.502280000000001,0,1.47603,8.01992105263158,0,1.634335
1998-3,3.4805,0,0,6.907236842105262,7.552289473684209,0,1.4623105263157894,8.069684210526317,0,1.6405473684210528
1998-4,3.451,0,0,6.970261904761905,7.582714285714287,0,1.4926952380952383,7.968449999999999,0,1.662942857142857
1998-5,3.3925,0,0,6.8973,7.5191,0,1.5034736842105265,7.788117647058823,0,1.6714631578947368
1998-6,3.491,0,0,6.757688235294117,7.446444444444444,0,1.4773444444444441,7.694852941176472,0,1.635678947368421
1998-7,3.487,0,0,6.835805000000001,7.586074999999999,0,1.4962095238095239,7.91469,0,1.6517761904761907
1998-8,3.4335,0,0,6.8411727272727285,7.61340909090909,0,1.511554545454546,7.9825238095238085,0,1.6412636363636366
1998-9,3.705,0,0,6.800910526315791,7.703026315789473,0,1.4917799999999999,8.149731578947367,0,1.6340526315789476
1998-10,3.5825,0,0,6.460314285714284,7.5492,0,1.3970047619047616,7.897450000000001,0,1.6824238095238095
2001-4,4.113722222222222,0.9058809523809521,0,8.239328571428572,8.997980952380953,0,1.6941190476190475,10.077261904761903,293.9178947368421,1.4427714285714286
2001-5,4.016638888888888,0.8933117647058824,0,8.349570588235295,9.084693750000001,0,1.7121117647058828,10.176470588235293,298.520625,1.435735
2001-6,3.9870619047619043,0.8722136363636362,39.60269230769231,8.55208,9.159699999999999,0,1.7564523809523813,10.36,295.31428571428575,1.4245149999999998
2001-7,3.9712631578947364,0.8531449999999999,39.74225,8.72146842105263,9.297165,0,1.7842100000000003,10.783031578947366,288.7275000000001,1.4001549999999998
2001-8,4.209840000000001,0.8629095238095236,39.17557894736843,8.634128571428572,9.244957142857142,0,1.7555349999999996,10.741904761904763,289.3685714285714,1.4148285714285715
2001-9,4.243557142857143,0.9026272727272727,37.73563636363636,8.247536363636364,8.929327272727273,0,1.6788227272727274,10.330254545454546,278.70333333333326,1.4382714285714289
2001-10,4.2195210526315785,0.9121157894736844,37.43405263157895,8.162731578947366,8.77582105263158,0,1.6311578947368421,10.63948947368421,281.2042105263158,1.4646368421052633
2001-11,4.127642857142857,0.9051454545454547,37.03004545454546,8.213327272727271,8.826018181818181,0,1.634077272727273,10.557363636363636,281.4452631578947,1.4497363636363636
2001-12,4.0896421052631595,0.8865099999999998,37.48022222222222,8.395231578947369,8.93377,0,1.6543684210526315,10.601125,282.98350000000005,1.433635
2002-1,4.013264705882353,0.8924999999999998,36.31576470588236,8.32905625,8.9581875,0,1.6523999999999999,10.530166666666666,276.56866666666673,1.4412529411764705
2002-2,4.071186363636364,0.8814409090909092,36.413727272727265,8.435866666666666,8.978395454545455,0,1.669412631578947,10.454486363636363,276.23285714285714,1.4305636363636365
2002-3,4.188284210526315,0.8705789473684211,36.48936842105264,8.534836842105262,8.93348888888889,0,1.6968444444444444,10.542921052631579,279.84315789473686,1.423342105263158
2002-4,4.130677777777777,0.8768444444444444,35.78715789473684,8.474147058823531,8.8028,0,1.6731111111111112,10.32623888888889,279.02388888888896,1.4227944444444445
2002-5,4.05448,0.886205,34.21910526315789,8.387665000000002,8.610311111111109,0,1.6543850000000002,10.312124999999998,273.428,1.4435761904761906
